artist_id,artist_name
01pFDtbY3k5uOmy0Pbg93C,Rovalio
05etL4pzWd6TSv1x5WrlG3,Faheem Abdullah
0FJz7XR37hH69traaHLijA,Shaarib Toshi
0Or6EukLg1g2fTl08fPz2o,Bunny
0bRPtPZQkWHeG7MGk9eWlh,Romy
0du5cEVh5yTK9QJze8zA0C,Bruno Mars
0noSVEcFjRGk99lWGCAdzz,Chinmayi Sripaada
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
1E6arsXf5Fgsnv9YpSzjpE,Parampara Tandon
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
1SyKki7JI1AZNKwgNMkn25,Sachet-Parampara
1UAzmnFgjizIDvtHvnCdEq,Stebin Ben
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
1dVygo6tRFXC8CSWURQJq2,Sonu Nigam
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar
1n9EM0Y4A89vuRiA93gSS9,Kaifi Khalil
1nCZUpBIcyOxufOx0lPeIW,Annural Khalid
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp
1sVmXkzX2ukc6QvasrDBES,Asees Kaur
1uY9B9QroF5K8wPyeEO1QN,Sagar
1wRPtKGflJrBx9BmLsSwlU,Pritam
22UtphG4LcwxlhhV0aP4js,Rauhan Malik
250b0Wlc5Vk0CoUsaCY84M,JENNIE
2DFCHTDIA0t638a4mm37dK,Raj Shekhar
2DpITTpb4v5SQtB3iA4A44,Rishi Rich
2FKWNmZWDBZR4dE5KX4plR,Diljit Dosanjh
2GoeZ0qOTt6kjsWW4eA6LS,Darshan Raval
2HrvJh5lOdSH1DLlWCAtJI,Rusha & Blizza
2LPavSQKI6P2pPJXvOQXAG,Hritu Zee
2UwDJeoMqYers5Jmm75zm2,Antara Mitra
2cjQTf2J5yCaNY8qHpW855,AUR
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya
2gXOOKY8mmJG6iwHrTq9gp,Jawad Ahmad
2jiSIlVrIaBnJA2x4jqqvf,Akshay & IP
2kkQthS9OLpK4UqNWYqoVl,Jeet Gannguli
2oSONSC9zQ4UonDKnLqksx,Atif Aslam
2rN8LHqK4TBI7y3d9POvJb,Dhanda Nyoliwala
2zkXEdYr7MxUFhS9xF48UB,Radhikka Madan
2zvJLk0gTH7r7A5Q6X5Bq8,Javed-Mohsin
38IHJBGBuaYXHEkIQd4DtF,Altamash Faridi
3GBSge8pq7mpezUQl0GAOA,Kausar Munir
3PpjqSKBer3obW6lDflOBx,Ram Sampath
3bAFvRjPZrpRz9Ox1sElQa,Arjun Kanungo
3cqeO3muWIW5uSmUDNCmyT,Rekha Bhardwaj
3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan
3eVa5w3URK5duf6eyVDbu9,ROSÉ
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik
3k1eCPRO0dE0Q9YsRfh4vn,Vijay Deverakonda
3scNK8e4mqnP6Rb8a3lwZY,Maanu
47SaOSOqcrxSJNZUuqpLuu,Jay Trak
4ITkqBlf5eoVCOFwsJCnqo,Harrdy Sandhu
4YRxDV8wJFPHPTeXepOstw,Arijit Singh
4cAERazLlAzVGA10ORWaUP,Manoj Muntashir
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi
4gdMJYnopf2nEUcanAwstx,Anuv Jain
4nJ0kto93jDLHQKmpGeYS8,Anvita Dutt
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk
52XgeWw24o4klNdfwvB0Vx,Kunaal Vermaa
56SjZARoEvag3RoKWIb16j,B Praak
5HcunTidTUrOaf8V0iJcvl,Nusrat Fateh Ali Khan
5II26ULdW25JT4tbUISamb,Raveena Mehta
5f4QpKfy7ptCHwTqspnSJI,Neha Kakkar
5gZhfbckaWo89OzDSk3gdT,Jaani
5mWQT8CLTa4mAQAJdFjHb1,Abdul Hannan
5wJ1H6ud777odtZl5gG507,Vishal Mishra
5zWKMBKw7KqulFxyz2ULvp,Ila Arun
6CXEwIaXYfVJ84biCxqc9k,Vishal Dadlani
6DARBhWbfcS9E4yJzcliqQ,Karan Aujla
6FtZhorjCMfkaVJ7kKdmq7,Payal Dev
6MPuzz9hPrs4TwxeHh4cEj,Amir Ameer
6QtJ6BVdj43aDpgjnVp2tY,Mohammed Irfan
6WixbETKEXH0xBf0OB9kRB,Shadab Faridi
6k6dimE4a6OFnD0HWmkIUW,Tochi Raina
6ohaQzKaXrobAL8paLSaxq,Salim–Sulaiman
6q29t5RuXxlBuqIZsOMQss,Priya Saraiya
70RAfkLNWG5J2bsnJqBpLQ,Aditya Sharma
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter
74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal
7ezZ4ix4QBrKkvxanGClFB,Jyoti Nooran
7pauOFC9bRqioSX30AvNkG,IP Singh
7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh
7vCsTTACb2iT4fvBMnwp5w,Prashant Pandey
